info: Ns:[100, 480, 860, 1240, 1620, 2000] ; reps=5 ; d = 3 ; 04,20,2024_16,00,54
[2.11345905 2.24896761 2.24722622 2.29310116 2.27676045 2.28716965]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,20,2024_16,06,57
[2.21146287 2.25494332 2.28047421 2.26028915 2.29120697 2.26912135]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,20,2024_16,12,44
[0.19393063 0.07372423 0.05631975 0.04750927 0.04281955 0.03925803]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=1 ; d = 3 ; 04,22,2024_22,43,42
[1.68       1.82727273 1.79819277 1.81106557 1.79534161 1.7565    ]info: Ns:[100, 280, 460, 640, 820, 1000] ; reps=1 ; d = 3 ; 04,22,2024_22,55,57
[1.5        1.575      1.52608696 1.5375     1.53292683 1.527     ]info: Ns:[100, 280, 460, 640, 820, 1000] ; reps=3 ; d = 3 ; 04,22,2024_22,56,16
[1.53       1.48928571 1.52608696 1.5375     1.56585366 1.554     ]info: Ns:[100, 680, 1260, 1840, 2420, 3000] ; reps=3 ; d = 3 ; 04,22,2024_22,57,06
[1.83       1.64117647 1.55952381 1.55054348 1.54338843 1.528     ]info: Ns:[100, 680, 1260, 1840, 2420, 3000] ; reps=3 ; d = 3 ; 04,22,2024_23,00,26
[1.53       1.51617647 1.50873016 1.51956522 1.52396694 1.52733333]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_00,35,15
[0.18121311 0.0722113  0.05484796 0.04548468 0.04303367 0.03835682]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 3 ; 04,23,2024_00,36,59
[1.53666667 1.49931818 1.51698795 1.52262295 1.51915584 1.5252    ]
