info: Ns:[100, 1080, 2060, 3040, 4020, 5000] ; reps=5 ; d = 2 ; 04,20,2024_16,22,26
[1.79045847 1.83947649 1.81845119 1.86093439 1.78805369 1.76962667]info: Ns:[100, 680, 1260, 1840, 2420, 3000] ; reps=3 ; d = 2 ; 04,20,2024_16,25,44
[1.36349457 1.44518173 1.40847271 1.38247201 1.40282124 1.42481702]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,21,2024_21,08,40
[1.94342381 1.99979341 2.07283015 2.01446889 2.08300643 2.03523991]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,21,2024_21,25,42
[2.04351903 2.10347354 2.11471485 2.05166616 2.06793957 2.0813856 ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,21,2024_21,27,24
[1.9546459  2.05258934 2.11727542 2.04121706 2.12887653 2.06598142]info: Ns:[100, 680, 1260, 1840, 2420, 3000] ; reps=4 ; d = 2 ; 04,22,2024_23,01,35
[1.62       1.57169118 1.5547619  1.55054348 1.54400826 1.539     ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_00,24,08
[0.21696592 0.10193267 0.07825833 0.06890127 0.062367   0.06086604]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_00,28,42
[1.49046154 1.5209632  1.53090798 1.55574914 1.55253613 1.54351654]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_00,30,17
[1.96795611 2.00157036 2.04520051 1.89750862 1.95883708 2.08897785]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_00,31,52
[0.02302332 0.34025507 1.02250991 2.71282754 3.39619379 4.11647768]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_00,33,27
[1.632      1.57977273 1.56759036 1.55483607 1.55869565 1.5558    ]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_10,45,52
[0.24557111 0.1064931  0.080612   0.07048716 0.06192572 0.05995942]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_10,47,25
[1.412      1.51106061 1.51945521 1.50246092 1.52692487 1.52983327]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_10,48,58
[1.88589662 1.92770365 2.03949306 2.0741776  1.93258449 1.92062644]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_11,11,12
[0.26376305 0.10449095 0.08017131 0.07106695 0.06335231 0.06068267]info: Ns:[100, 880, 1660, 2440, 3220, 4000] ; reps=5 ; d = 2 ; 04,23,2024_11,12,47
[1.38092308 1.50732323 1.53436068 1.51518472 1.52538359 1.52909912]
